date,tag,trend_score
2018-05-30,whatsapp,82
2018-05-31,whatsapp,75
2018-06-01,whatsapp,77
2018-06-02,whatsapp,71
2018-06-03,whatsapp,63
2018-06-04,whatsapp,73
2018-06-05,whatsapp,79
2018-06-06,whatsapp,74
2018-06-07,whatsapp,72
2018-06-08,whatsapp,76
2018-06-09,whatsapp,66
2018-06-10,whatsapp,62
2018-06-11,whatsapp,76
2018-06-12,whatsapp,72
2018-06-13,whatsapp,75
2018-06-14,whatsapp,74
2017-11-14,with,97
2017-11-15,with,94
2017-11-16,with,94
2017-11-17,with,91
2017-11-18,with,93
2017-11-19,with,100
2017-11-20,with,95
2017-11-21,with,95
2017-11-22,with,97
2017-11-23,with,88
2017-11-24,with,84
2017-11-25,with,91
2017-11-26,with,96
2017-11-27,with,94
2017-11-28,with,93
2017-11-29,with,96
2017-11-30,with,96
2017-12-01,with,93
2017-12-02,with,94
2017-12-03,with,94
2017-12-04,with,91
2017-12-05,with,95
2017-12-06,with,96
2017-12-07,with,91
2017-12-08,with,94
2017-12-09,with,92
2017-12-10,with,91
2017-12-11,with,91
2017-12-12,with,95
2017-12-13,with,95
2017-12-14,with,93
2017-12-15,with,90
2017-12-16,with,89
2017-12-17,with,94
2017-12-18,with,89
2017-12-19,with,89
2017-12-20,with,89
2017-12-21,with,93
2017-12-22,with,90
2017-12-23,with,88
2017-12-24,with,94
2017-12-25,with,89
2017-12-26,with,90
2017-12-27,with,91
2017-12-28,with,91
2017-12-29,with,92
2017-12-30,with,96
2017-12-31,with,94
2018-01-01,with,92
2018-01-02,with,90
2018-01-03,with,94
2018-01-04,with,89
2018-01-05,with,87
2018-01-06,with,96
2018-01-07,with,96
2018-01-08,with,87
2018-01-09,with,91
2018-01-10,with,92
2018-01-11,with,99
2018-01-12,with,91
2018-01-13,with,90
2018-01-14,with,95
2018-01-15,with,89
2018-01-16,with,90
2018-01-17,with,92
2018-01-18,with,95
2018-01-19,with,94
2018-01-20,with,92
2018-01-21,with,95
2018-01-22,with,94
2018-01-23,with,95
2018-01-24,with,92
2018-01-25,with,88
2018-01-26,with,89
2018-01-27,with,89
2018-01-28,with,98
2018-01-29,with,91
2018-01-30,with,92
2018-01-31,with,93
2018-02-01,with,93
2018-02-02,with,91
2018-02-03,with,91
2018-02-04,with,93
2018-02-05,with,89
2018-02-06,with,92
2018-02-07,with,92
2018-02-08,with,94
2018-02-09,with,92
2018-02-10,with,91
2018-02-11,with,96
2018-02-12,with,93
2018-02-13,with,94
2018-02-14,with,90
2018-02-15,with,89
2018-02-16,with,88
2018-02-17,with,93
2018-02-18,with,94
2018-02-19,with,96
2018-02-20,with,95
2018-02-21,with,95
2018-02-22,with,91
2018-02-23,with,94
2018-02-24,with,94
2018-02-25,with,89
2018-02-26,with,92
2018-02-27,with,96
2018-02-28,with,87
2018-03-01,with,91
2018-03-02,with,83
2018-03-03,with,93
2018-03-04,with,88
2018-03-05,with,90
2018-03-06,with,94
2018-03-07,with,91
2018-03-08,with,92
2018-03-09,with,91
2018-03-10,with,88
2018-03-11,with,93
2018-03-12,with,91
2018-03-13,with,87
2018-03-14,with,90
2018-03-15,with,88
2018-03-16,with,89
2018-03-17,with,87
2018-03-18,with,88
2018-03-19,with,94
2018-03-20,with,89
2018-03-21,with,91
2018-03-22,with,88
2018-03-23,with,84
2018-03-24,with,90
2018-03-25,with,95
2018-03-26,with,92
2018-03-27,with,93
2018-03-28,with,95
2018-03-29,with,91
2018-03-30,with,93
2018-03-31,with,89
2018-04-01,with,91
2018-04-02,with,93
2018-04-03,with,92
2018-04-04,with,90
2018-04-05,with,89
2018-04-06,with,87
2018-04-07,with,93
2018-04-08,with,90
2018-04-09,with,96
2018-04-10,with,92
2018-04-11,with,91
2018-04-12,with,90
2018-04-13,with,92
2018-04-14,with,90
2018-04-15,with,95
2018-04-16,with,91
2018-04-17,with,92
2018-04-18,with,92
2018-04-19,with,87
2018-04-20,with,89
2018-04-21,with,85
2018-04-22,with,90
2018-04-23,with,90
2018-04-24,with,89
2018-04-25,with,91
2018-04-26,with,91
2018-04-27,with,86
2018-04-28,with,85
2018-04-29,with,92
2018-04-30,with,91
2018-05-01,with,93
2018-05-02,with,90
2018-05-03,with,90
2018-05-04,with,92
2018-05-05,with,90
2018-05-06,with,93
2018-05-07,with,91
2018-05-08,with,89
2018-05-09,with,90
2018-05-10,with,89
2018-05-11,with,84
2018-05-12,with,83
2018-05-13,with,85
2018-05-14,with,87
2018-05-15,with,89
2018-05-16,with,90
2018-05-17,with,89
2018-05-18,with,82
2018-05-19,with,81
2018-05-20,with,89
2018-05-21,with,86
2018-05-22,with,93
2018-05-23,with,89
2018-05-24,with,89
2018-05-25,with,84
2018-05-26,with,83
2018-05-27,with,87
2018-05-28,with,83
2018-05-29,with,87
2018-05-30,with,90
2018-05-31,with,90
2018-06-01,with,86
2018-06-02,with,90
2018-06-03,with,90
2018-06-04,with,88
2018-06-05,with,89
2018-06-06,with,86
2018-06-07,with,84
2018-06-08,with,85
2018-06-09,with,88
2018-06-10,with,90
2018-06-11,with,88
2018-06-12,with,91
2018-06-13,with,94
2018-06-14,with,86
2017-11-14,wwe,37
2017-11-15,wwe,35
2017-11-16,wwe,26
2017-11-17,wwe,25
2017-11-18,wwe,30
2017-11-19,wwe,43
2017-11-20,wwe,62
2017-11-21,wwe,43
2017-11-22,wwe,35
2017-11-23,wwe,27
2017-11-24,wwe,26
2017-11-25,wwe,30
2017-11-26,wwe,31
2017-11-27,wwe,26
2017-11-28,wwe,35
2017-11-29,wwe,30
2017-11-30,wwe,23
2017-12-01,wwe,24
2017-12-02,wwe,29
2017-12-03,wwe,27
2017-12-04,wwe,23
2017-12-05,wwe,33
2017-12-06,wwe,29
2017-12-07,wwe,26
2017-12-08,wwe,25
2017-12-09,wwe,31
2017-12-10,wwe,32
2017-12-11,wwe,25
2017-12-12,wwe,35
2017-12-13,wwe,29
2017-12-14,wwe,26
2017-12-15,wwe,26
2017-12-16,wwe,28
2017-12-17,wwe,32
2017-12-18,wwe,41
2017-12-19,wwe,35
2017-12-20,wwe,32
2017-12-21,wwe,26
2017-12-22,wwe,27
2017-12-23,wwe,28
2017-12-24,wwe,30
2017-12-25,wwe,32
2017-12-26,wwe,39
2017-12-27,wwe,35
2017-12-28,wwe,29
2017-12-29,wwe,28
2017-12-30,wwe,29
2017-12-31,wwe,26
2018-01-01,wwe,30
2018-01-02,wwe,35
2018-01-03,wwe,30
2018-01-04,wwe,26
2018-01-05,wwe,25
2018-01-06,wwe,28
2018-01-07,wwe,27
2018-01-08,wwe,23
2018-01-09,wwe,32
2018-01-10,wwe,28
2018-01-11,wwe,24
2018-01-12,wwe,27
2018-01-13,wwe,32
2018-01-14,wwe,29
2018-01-15,wwe,28
2018-01-16,wwe,36
2018-01-17,wwe,32
2018-01-18,wwe,27
2018-01-19,wwe,26
2018-01-20,wwe,29
2018-01-21,wwe,30
2018-01-22,wwe,29
2018-01-23,wwe,51
2018-01-24,wwe,34
2018-01-25,wwe,28
2018-01-26,wwe,27
2018-01-27,wwe,32
2018-01-28,wwe,50
2018-01-29,wwe,84
2018-01-30,wwe,47
2018-01-31,wwe,36
2018-02-01,wwe,28
2018-02-02,wwe,28
2018-02-03,wwe,31
2018-02-04,wwe,30
2018-02-05,wwe,24
2018-02-06,wwe,34
2018-02-07,wwe,29
2018-02-08,wwe,24
2018-02-09,wwe,24
2018-02-10,wwe,28
2018-02-11,wwe,28
2018-02-12,wwe,23
2018-02-13,wwe,34
2018-02-14,wwe,28
2018-02-15,wwe,23
2018-02-16,wwe,23
2018-02-17,wwe,28
2018-02-18,wwe,29
2018-02-19,wwe,25
2018-02-20,wwe,32
2018-02-21,wwe,26
2018-02-22,wwe,23
2018-02-23,wwe,23
2018-02-24,wwe,26
2018-02-25,wwe,31
2018-02-26,wwe,56
2018-02-27,wwe,37
2018-02-28,wwe,31
2018-03-01,wwe,24
2018-03-02,wwe,26
2018-03-03,wwe,28
2018-03-04,wwe,28
2018-03-05,wwe,25
2018-03-06,wwe,33
2018-03-07,wwe,29
2018-03-08,wwe,24
2018-03-09,wwe,24
2018-03-10,wwe,27
2018-03-11,wwe,34
2018-03-12,wwe,49
2018-03-13,wwe,34
2018-03-14,wwe,29
2018-03-15,wwe,24
2018-03-16,wwe,24
2018-03-17,wwe,27
2018-03-18,wwe,26
2018-03-19,wwe,24
2018-03-20,wwe,36
2018-03-21,wwe,31
2018-03-22,wwe,24
2018-03-23,wwe,24
2018-03-24,wwe,29
2018-03-25,wwe,28
2018-03-26,wwe,26
2018-03-27,wwe,35
2018-03-28,wwe,32
2018-03-29,wwe,27
2018-03-30,wwe,27
2018-03-31,wwe,28
2018-04-01,wwe,30
2018-04-02,wwe,30
2018-04-03,wwe,40
2018-04-04,wwe,32
2018-04-05,wwe,30
2018-04-06,wwe,31
2018-04-07,wwe,40
2018-04-08,wwe,69
2018-04-09,wwe,100
2018-04-10,wwe,60
2018-04-11,wwe,41
2018-04-12,wwe,29
2018-04-13,wwe,29
2018-04-14,wwe,31
2018-04-15,wwe,32
2018-04-16,wwe,27
2018-04-17,wwe,41
2018-04-18,wwe,36
2018-04-19,wwe,26
2018-04-20,wwe,24
2018-04-21,wwe,28
2018-04-22,wwe,28
2018-04-23,wwe,25
2018-04-24,wwe,31
2018-04-25,wwe,29
2018-04-26,wwe,23
2018-04-27,wwe,52
2018-04-28,wwe,45
2018-04-29,wwe,32
2018-04-30,wwe,27
2018-05-01,wwe,35
2018-05-02,wwe,27
2018-05-03,wwe,24
2018-05-04,wwe,23
2018-05-05,wwe,25
2018-05-06,wwe,32
2018-05-07,wwe,44
2018-05-08,wwe,31
2018-05-09,wwe,28
2018-05-10,wwe,23
2018-05-11,wwe,22
2018-05-12,wwe,23
2018-05-13,wwe,24
2018-05-14,wwe,22
